Conseillers;Civilité;Nom;Prenom;Arrondissement;Conseiller de Paris;Conseiller Métropolitain;Courriel;Acronyme;Groupe;Président de groupe;Fonction dans l'exécutif;Liste d'origine;Status;Date
M. AQUA Jean-Noël;M.;AQUA;Jean-Noël;13;1;1;jean-noel.aqua@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);NA;NA;Paris en Commun-écologie pour Paris;Present(e);Mardi 12 octobre 2021 - Matin
M. AQUA Jean-Noël;M.;AQUA;Jean-Noël;13;1;1;jean-noel.aqua@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);NA;NA;Paris en Commun-écologie pour Paris;Present(e);Mardi 12 octobre 2021 - Après-midi
M. AQUA Jean-Noël;M.;AQUA;Jean-Noël;13;1;1;jean-noel.aqua@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);NA;NA;Paris en Commun-écologie pour Paris;Present(e);Mercredi 13 octobre 2021 - Matin
M. AQUA Jean-Noël;M.;AQUA;Jean-Noël;13;1;1;jean-noel.aqua@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);NA;NA;Paris en Commun-écologie pour Paris;Present(e);Mercredi 13 octobre 2021 - Après-midi
M. AQUA Jean-Noël;M.;AQUA;Jean-Noël;13;1;1;jean-noel.aqua@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);NA;NA;Paris en Commun-écologie pour Paris;Present(e);Jeudi 14 octobre 2021 - Matin
M. AQUA Jean-Noël;M.;AQUA;Jean-Noël;13;1;1;jean-noel.aqua@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);NA;NA;Paris en Commun-écologie pour Paris;Present(e);Jeudi 14 octobre 2021 - Après-midi
M. AQUA Jean-Noël;M.;AQUA;Jean-Noël;13;1;1;jean-noel.aqua@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);NA;NA;Paris en Commun-écologie pour Paris;Present(e);Vendredi 15 octobre 2021 - Matin
M. AQUA Jean-Noël;M.;AQUA;Jean-Noël;13;1;1;jean-noel.aqua@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);NA;NA;Paris en Commun-écologie pour Paris;Present(e);Vendredi 15 octobre 2021 - Après-midi
M. AQUA Jean-Noël;M.;AQUA;Jean-Noël;13;1;1;jean-noel.aqua@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);NA;NA;Paris en Commun-écologie pour Paris;Excuse(e);Mardi 6 juillet 2021 - Matin
M. AQUA Jean-Noël;M.;AQUA;Jean-Noël;13;1;1;jean-noel.aqua@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);NA;NA;Paris en Commun-écologie pour Paris;Excuse(e);Mardi 6 juillet 2021 - Après-midi
M. AQUA Jean-Noël;M.;AQUA;Jean-Noël;13;1;1;jean-noel.aqua@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);NA;NA;Paris en Commun-écologie pour Paris;Excuse(e);Mercredi 7 juillet 2021 - Matin
M. AQUA Jean-Noël;M.;AQUA;Jean-Noël;13;1;1;jean-noel.aqua@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);NA;NA;Paris en Commun-écologie pour Paris;Excuse(e);Mercredi 7 juillet 2021 - Après-midi
M. AQUA Jean-Noël;M.;AQUA;Jean-Noël;13;1;1;jean-noel.aqua@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);NA;NA;Paris en Commun-écologie pour Paris;Excuse(e);Jeudi 8 juillet 2021 - Matin
M. AQUA Jean-Noël;M.;AQUA;Jean-Noël;13;1;1;jean-noel.aqua@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);NA;NA;Paris en Commun-écologie pour Paris;Excuse(e);Jeudi 8 juillet 2021 - Après-midi
M. AQUA Jean-Noël;M.;AQUA;Jean-Noël;13;1;1;jean-noel.aqua@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);NA;NA;Paris en Commun-écologie pour Paris;Excuse(e);Vendredi 9 juillet 2021 - Matin
M. AQUA Jean-Noël;M.;AQUA;Jean-Noël;13;1;1;jean-noel.aqua@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);NA;NA;Paris en Commun-écologie pour Paris;Excuse(e);Vendredi 9 juillet 2021 - Après-midi
M. AQUA Jean-Noël;M.;AQUA;Jean-Noël;13;1;1;jean-noel.aqua@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);NA;NA;Paris en Commun-écologie pour Paris;Present(e);Mardi 1er juin 2021 - Matin
