Conseillers;Civilité;Nom;Prénom;Arrondissement;Conseiller de Paris;Conseiller Métropolitain;Courriel;Acronyme;Groupe;Président de groupe;Fonction dans l'exécutif;Liste d'origine
M. AQUA Jean-Noël;M.;AQUA;Jean-Noël;13;1;1;jean-noel.aqua@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);;;Paris en Commun-écologie pour Paris
Mme CARRERE-GEE Marie-Claire;Mme;CARRERE-GEE;Marie-Claire;14;1;1;marie-claire.carrere-gee@paris.fr;C PARIS;C PARIS (Changer Paris);;;Engagés pour Paris
M. COBLENCE Emmanuel;M.;COBLENCE;Emmanuel;13;1;;emmanuel.coblence@paris.fr;PEC;PEC (Paris en Commun);;;Union pour le 6ème
Mme Emmanuelle DAUVERGNE;Mme;DAUVERGNE;Emmanuelle;7;1;;emmanuelle.dauvergne@paris.fr;C PARIS;C PARIS (Changer Paris);;;Engagés pour Paris
Mme GOMES Barbara;Mme;GOMES;Barbara;18;1;;barbara.gomes@paris.fr;GCC;GCC (Groupe Communiste et Citoyen);;;Engagés pour Paris
M. GRANIER Rudolph;M.;GRANIER;Rudolph;18;1;;rudolph.granier@paris.fr;C PARIS;C PARIS (Changer Paris);;;Paris en Commun-écologie pour Paris
Mme IBLED Catherine;Mme;IBLED;Catherine;15;1;;catherine.ibled@paris.fr;GIP;GIP (Groupe Indépendants et Progressistes);;;Paris en Commun-écologie pour Paris
M. LECOQ Jean-Pierre;M.;LECOQ;Jean-Pierre;6;1;1;jean-pierre.lecoq@paris.fr;C PARIS;C PARIS (Changer Paris);;;Engagés pour Paris
Mme MARKOVIC Douchka;Mme;MARKOVIC;Douchka;18;1;;douchka.markovic@paris.fr;GEP;GEP (Groupe écologiste de Paris);;;Engagés pour Paris
M. ALPHAND David;M.;ALPHAND;David;16;1;;david.alphand@paris.fr;C PARIS;C PARIS (Changer Paris);;;Paris en Commun-écologie pour Paris
Mme EL AARAJE Lamia;Mme;EL AARAJE;Lamia;20;1;;lamia.elaaraje@paris.fr;PEC;PEC (Paris en Commun);;;Paris en Commun-écologie pour Paris
M. GIRARD Christophe;M.;GIRARD;Christophe;18;1;;christophe.girard@paris.fr;NI;Non Inscrit;;;Paris en Commun-écologie pour Paris
M. GOUJON Philippe;M.;GOUJON;Philippe;15;1;1;philippe.goujon@paris.fr;C PARIS;C PARIS (Changer Paris);;;Engagés pour Paris
M. MEUNIER Emile;M.;MEUNIER;Emile;18;1;1;emile.meunier@paris.fr;GEP;GEP (Groupe écologiste de Paris);;;Paris en Commun-écologie pour Paris
M. PECHENARD Frédéric;M.;PECHENARD;Frédéric;17;1;;frederic.pechenard@paris.fr;C PARIS;C PARIS (Changer Paris);;;Ensemble pour Paris
Mme RAYMOND-ROSSI Marie-José;Mme;RAYMOND-ROSSI;Marie-José;13;1;;marie-jose.raymond-rossi@paris.fr;PEC;PEC (Paris en Commun);;;Engagés pour Paris
Mme ROLLAND Carine;Mme;ROLLAND;Carine;18;1;;carine.rolland@paris.fr;PEC;PEC (Paris en Commun);;Adjointe;Engagés pour Paris
M. WEIL Ariel;M.;WEIL;Ariel;Centre;1;1;ariel.weil@paris.fr;PEC;PEC (Paris en Commun);;;Engagés pour Paris
Mme BOUGERET Alix;Mme;BOUGERET;Alix;17;1;;alix.bougeret@paris.fr;C PARIS;C PARIS (Changer Paris);;;Paris en Commun-écologie pour Paris
M. COCHARD Maxime;M.;COCHARD;Maxime;14;1;;maxime.cochard@paris.fr;NI;Non Inscrit;;;Engagés pour Paris
M. COUMET Jérôme;M.;COUMET;Jérôme;13;1;1;jerome.coumet2@paris.fr;PEC;PEC (Paris en Commun);;;Paris en Commun-écologie pour Paris
Mme DE RAGUENEL Inès;Mme;DE RAGUENEL;Inès;15;1;;ines.deraguenel@paris.fr;C PARIS;C PARIS (Changer Paris);;;Paris en Commun-écologie pour Paris
